Estação,Prof. (m),Amônio (microM),Nitrito (microM),Nitrato (microM),Fosfato (microM),Silicato (microM),pH 
,20,"0,2638","0,2603","0,963","0,5187969925","5,741365522","8,14"
,29,"0,4251","0,341","1,032","0,6766917293","7,307192483","8,14"
,35,"0,2217","0,285","1,104","0,7443609023","14,76351134","8,09"
,44,"0,1933","0,243","1,223","1,082706767","13,86875308","8,06"
17,3,"0,4417","0,143","0,923","0,6315789474","9,394961763",8
,10,"0,384","0,185","1,356","0,5864661654","8,947582632","8,15"
,20,"0,217","0,173","1,441","0,6766917293","7,158066105","8,14"
18,3,"0,192","0,173","1,531","0,7669172932","16,40390149","8,17"
,10,"0,217","0,237","1,425","0,6090225564","15,73283279","8,18"
,16,"0,185","0,228","1,469","0,6541353383","17,22409657","8,17"
19,3,"0,221","0,1325","1,146","0,4322169059","5,682261209","8,14"
,27,0,"0,2348","0,962","0,3946328271","5,596166342","8,15"
,34,"0,213","0,313","1,019","0,4510089453","4,907407407","8,17"
,39,"0,2926324294","0,689","1,868","0,4510089453","5,165692008","8,17"
,45,"0,1848204817","0,685","2,204","0,4885930241","5,854450942","8,14"
20,5,"0,196","0,163","1,329","0,4322169059","6,801494477","8,05"
,38,"0,189","0,175","0,694","0,3946328271","3,013320338","8,13"
,44,"0,2310256022","0,214","1,863","0,3758407877","3,702079272","8,16"
,69,"0,2156238954","0,2563","4,374","0,7704736149","7,920727745","8,04"
,94,"0,2002221886","0,2208","5,235","0,8456417724","7,920727745","8,03"
21,5,"0,18325","0,1132","1,224","0,291673524","4,834145427","7,87"
,30,"0,2314","0,2647","0,893","0,145836762","3,226574213","8,02"
,75,"0,2159","0,26","5,148","0,5468878575","5,988568216","7,99"
,90,"0,2267","0,214","6,498","0,510428667","7,03035982",8
,115,"0,3078133232","0,22","7,641","0,4921990718","7,886056972","7,99"
22,3,"0,2351","0,1233","0,851","0,3463623098","3,679722639","8,11"
,40,"0,2143","0,1754","0,794","0,1276071668","3,01011994","8,14"
,60,"0,1961","0,2148","3,766","0,145836762","5,649362819","8,15"
,95,"0,2243","0,256","9,692","0,5286582623","6,659482759","8,1"
,120,"0,2363","0,287","8,551","0,6380358338","7,597451274","8,05"
,145,"0,1810666607","0,321","11,544","0,5468878575","7,453148426","8,03"
23,3,"0,18","0,11","1,084","0,4010510955","3,824025487","8,03"
,30,0,"0,15","0,924","0,1822959525","0,9379685157","8,04"
,90,"0,18","0,16","5,221","0,218755143","3,793665667","8,11"
,120,"0,21","0,22","6,68","0,3281327145","5,937968516","8,08"
,160,"0,19","0,287","7,024","0,4739694765","6,803785607","8,04"
,184,"0,1810666607","0,321","10,674","0,5286582623","6,803785607","8,03"
24,5,0,"0,08","1,14",0,"0,7907774238","8,13"
,11,0,"0,1","1,03",0,"0,8163109695","8,19"
,98,"0,21","0,13","5,87","0,0802005013","3,632621939","8,18"
,146,"0,2039870475","0,12","6,39","0,2005012531","5,028010651","8,16"
,156,"0,2510609815","0,215","7,006","0,2606516291","6,265243878","8,12"
,1450,"0,2981349155","0,238","29,548","1,904761905","18,62118853","7,82"
,1475,"0,2196783588","0,2571","29,631","1,964912281","18,80735467","7,81"
,1500,"0,2510609815","0,304","28,714","1,904761905","18,01657724","7,8"
25,5,"0,1946","0,0834","1,325","0,1002506266","2,296701189","8,03"
,40,"0,1822","0,1232","2,14","0,1002506266","0,3479850287","8,13"
,93,"0,2132","0,1958","5,94","0,1203007519","0,8351640688","8,14"
,450,"0,2510609815","0,2204","23,651","0,9223057644","8,131865258","7,98"
,1200,"0,2667522928","0,2365","44,055","2,085213033","18,90474364","7,77"
,1885,"0,2353696701","0,251","28,454","1,483709273","17,31867001","7,83"
,1910,"0,2039870475","0,307","29,303","1,483709273","17,38826702","7,84"
,1936,"0,2510609815","0,424","30,87","1,463659148","17,15383408","7,84"
26,5,0,"0,124","0,7635",0,0,"8,17"
,60,"0,2683151286","0,133","0,6142","0,1045945113",0,"8,25"
,112,"0,2840983714","0,286","7,535","0,2266214411","0,4175820344","8,23"
,350,"0,3314481","0,504","12,325","0,5752698119","1,46153712","8,08"
,2230,"0,2367486429","0,291","38,137","1,167972042","16,16116284","7,94"
,2255,"0,2367486429","0,277","37,954","1,185404461","16,85713289","7,96"
,2280,"0,2367486429","0,277","35,121","1,202836879","16,83149097","7,93"
27,5,"0,1941","0,2143","0,6214",0,"0,7469896867","8,08"
,50,"0,2136","0,1965","0,7236","0,0974244121","0,5228927807","8,13"
,110,"0,2542744002","0,2155","0,904","0,1786114222","0,8216886553","8,12"
,170,"0,3390325336","0,2204","4,76","0,2922732363","0,8216886553","8,1"
,500,"0,2118953335","0,2273","27,84","0,8605823068","3,286754621","7,93"
,1800,"0,2414496467","0,22357","26,978","1,266517357","14,71569683","7,86"
,2200,"0,3390325336","0,301","40,458","1,120380739","12,6241257","7,86"
,2450,"0,2614","0,2934","39,942","1,250279955","15,08919167","7,86"
,2475,"0,2358","0,2658","39,679","1,217805151","15,83618136","7,86"
,2500,"0,3027","0,245","39,113","1,315229563","15,38798755","7,85"
28,5,"0,2314","0,14","0,7625","0,2435610302","1,04948715","8,05"
,55,"0,1967","0,1935","0,6183","0,2110862262","0,5997069428","8,15"
,105,"0,2366","0,2144","1,394","0,2435610302","0,5247435749","8,16"
,155,"0,2721","0,2479","5,947","0,2597984323","1,04948715","8,15"
,1390,"0,201","0,2365","19,635","1,786114222","14,61346087","7,81"
,1415,"0,1963","0,2207","24,462","1,883538634","14,66294802","7,79"
,1940,"0,2354","0,2635","30,553","1,704927212","15,56397372","7,78"
29,5,0,"0,2135","1,638","0,2110862262","1,04948715","8,13"
,60,"0,18114","0,2056","0,976","0,1623740202","0,4497802071","8,21"
,100,"0,21365","0,1978","1,4231","0,2597984323","0,974523782","8,19"
,140,"0,24228","0,2246","6,405","0,4708846585","1,499267357","8,1"
,596,"0,19632","0,2304","15,593056","1,477603583","8,395897199","7,89"
,619,"0,2543","0,2258","16,793","1,558790594","8,021080359","7,87"
,644,"0,2263","0,2637","16,831","1,656215006","9,370420981","7,86"
30,5,"0,1914","0,20114","0,6933","0,2760358343","1,424303989","8,03"
,25,"0,2106","0,2359","0,9417","0,1786114222","0,7496336784","8,15"
,75,"0,2519","0,2347","1,052","0,2922732363","1,124450518","8,16"
,90,"0,3178430002","0,2186","1,318","0,3734602464","0,8995604141","8,17"
,130,"0,2754639335","0,2351","7,657","0,5195968645","1,124450518","8,11"
,155,"0,487359267","0,2349","8,438","0,6332586786","2,473791139","8,07"
,180,"0,2966534669","0,2263","8,904","0,7306830907","2,848607978","8,06"
31,5,0,0,"1,056","0,4059350504","0,7424303989","8,17"
,50,0,0,"0,948","0,2922732363","1,374816839","8,22"
,63,0,0,"1,057","0,2922732363","0,5997069428","8,26"
,75,0,0,"3,462","0,3085106383","0,8995604141","8,25"
,80,"0,3814116003","0,331","3,574","0,4384098544","1,574230725","8,22"
,105,"0,423790667","0,297","12,177","0,6819708847","3,073498082","8,11"
,130,"0,3602220669","0,281","15,672","0,7144456887","3,523278289","8,11"
33,6,"0,1834","0,2145","0,9325","0,1250135166","0,8007011866","8,12"
,30,"0,2014","0,1966","1,146","0,3281604812","1,510517799","8,1"
,55,"0,2364239811","0,3125","1,063","0,2187736541","0,4503505933","8,14"
,65,"0,2807534775","0,319","3,086","0,3437871707","0,8269282632","8,1"
,75,"0,2364239811","0,301","13,679","0,5625608249","3,608414239","8,03"
,79,"0,02341","0,294","13,599","0,5625608249","4,510517799","8,02"
34,5,"0,35","0,293","0,996","0,3281604812","1,585693096","8,18"
,13,"0,3899811126","0,314","1,0253","0,3125337916","2,2552589","8,15"
,25,"0,3221583104","0,484","1,372","0,3906672395","5,111920173","8,13"
,30,"0,3254","0,593","1,99","0,4102","6,0154","8,14"
35,7,"0,3125","0,381","0,493","0,2187736541","3,984290723","8,05"
,30,"0,3694","0,336","1,968","0,6094408936","8,419633225",8
,48,"0,4686","0,299","2,421","0,6563209623","9,772788565","7,99"
36,5,"0,2945","0,3254","1,332","0,3692890397","2,631135383","8,09"
,34,"0,3243","0,2976","0,9438","0,1846445198","1,428330636","8,17"
,54,"0,2597","0,2714","3,225","0,3077408664","1,57868123","8,17"
,65,"0,2966","0,457","5,878","0,5744496173","2,781485976","8,08"
,76,"0,3415","0,263","13,093","0,8411583682","4,660868393","8,06"
,92,"0,3286","0,28","15,136","0,8411583682","5,111920173","8,03"
37,5,"0,2712912088","0,3284","0,8947","0,2461926931","1,80420712","8,11"
,36,"0,2483","0,3369","0,9531","0,1846445198","1,12762945","8,17"
,66,"0,4186","0,286","4,384","0,3282569242","1,653856526","8,17"
,75,"0,3971","0,296","4,733","0,4718693285","2,02973301","8,15"
,98,"0,3730254121","0,22099","9,792","0,5949656751","1,729031823","8,11"
,123,"0,29","0,276","14,285","0,7180620216","2,48078479","8,07"
38,5,"0,1835","0,1534","0,821","0,3282569242","1,954557713","8,19"
,20,0,"0,1786","1,2174","0,8821904837","1,720334412","8,12"
,45,"0,1936","0,1762","1,4935","0,3077408664","1,653856526","8,17"
,67,"0,2041","0,2147","3,1601","0,3282569242","2,02973301","8,18"
,100,"0,1953","0,2533","5,515","0,5334175018","2,02973301","8,14"
,250,"0,2144","0,308","7,595","1,025802888","3,533238943","8,07"
,400,"0,2364","0,187","9,259","1,702832794","6,765776699","7,96"
,520,"0,2017","0,227","14,232","1,74386491","8,945860302","7,92"
,545,"0,2238","0,263","14,578","1,805413083","9,547262675","7,9"
,570,"0,2187","0,298","14,91","1,846445198","9,321736785","7,89"
39,6,"0,1529617695","0,17","0,731","0,0752575623","1,008297258","8,14"
,50,"0,2565958547","0,18632","1,438","0,0940719529","1,723","8,15"
,85,"0,3565958547","0,19114","2,476","0,2257726869","1,894","8,14"
